Genus,Species,NofFiles,NBDC,UBC,Yorku,UoA,GlobalBiodiversity,Ecdysis,N_NBDC_samples
Stelis,Stelis coarctatus,0,0,0,0,0,0,0,0
Stelis,Stelis foederalis,5,5,0,0,0,0,0,0
Stelis,Stelis interrupta,0,0,0,0,0,0,0,0
Stelis,Stelis labiata,8,8,0,0,0,0,0,0
Stelis,Stelis lateralis,3,3,0,0,0,0,0,0
Stelis,Stelis montana,0,0,0,0,0,0,0,0
Stelis,Stelis nitida,6,6,0,0,0,0,0,0
Stelis,Stelis rubi,0,0,0,0,0,0,0,0
Triepeolus,Triepeolus balteatus,0,0,0,0,0,0,0,0
Triepeolus,Triepeolus concavus,6,6,0,0,0,0,0,0
Triepeolus,Triepeolus dacotensis,0,0,0,0,0,0,0,0
Triepeolus,Triepeolus helianthi,3,3,0,0,0,0,0,0
Triepeolus,Triepeolus paenepectoralis,0,0,0,0,0,0,0,0
Triepeolus,Triepeolus subalpinus,0,0,0,0,0,0,0,0
Xeromelecta,Xeromelecta californica,0,0,0,0,0,0,0,0
Zacosmia,Zacosmia maculata,0,0,0,0,0,0,0,0
